1426171864,ch_15fXeOHVLkuGcMeWYhRi9apE,cus_5rGAngcCrkIMFe,5000,usd
1426173084,ch_15fXy4HVLkuGcMeWpSJ7dXmD,cus_5rGVxF54AxwZgO,5000,usd
1426173126,ch_15fXykHVLkuGcMeWsUcSCFqc,cus_5rGVtShfryRely,5000,usd
1426173226,ch_15fY0MHVLkuGcMeWfSBMlnxw,cus_5rGXSYNlIH2lfZ,5000,usd
1426173304,ch_15fY1cHVLkuGcMeWlebMLVMA,cus_5rGYMVdw3RKYnp,5000,usd
1426173488,ch_15fY4aHVLkuGcMeWT6ruP41D,cus_5rGbvCrK683pEf,5000,usd
1426173548,ch_15fY5YHVLkuGcMeWFKAZ20UP,cus_5rGcMin64dYvcu,5000,usd
1426175262,ch_15fYXCHVLkuGcMeWuPYzRM4t,cus_5rH5lui5z5vidf,5000,usd
1426175375,ch_15fYZ1HVLkuGcMeWKH4c18V8,cus_5rH7lKUnkkUkIB,5000,usd
1426178468,ch_15fZMuHVLkuGcMeWFIkdL57R,cus_5rHw1OtsDEvVsO,5000,usd
